zone_name,type,state_id,fiscal_year,plant_name,unit,possible_names,latitude,longitude,unit_status,start_year,retired_year,fuel_gem,technology,fuel1,fuel2,installed_capacity_mw,monitored_capacity_mw,net_generation_mu,fuel_1_consumption_if_coal_only_national_coal,fuel_1_consumption_only_for_imported_coal,fuel_2_consumption,gcvkcal_kg_fuel_1_if_coal_only_national_coal,gcvkcal_kg_fuel_1_only_for_imported_coal,gcvkcal_kg_fuel_2,co2ton_fuel_1,co2ton_fuel_2,co2_fuel2_pct,total_co2ton,emission_factor_ton_mwh,auxilary_cons_pct_cal,is_emission_factor_predicted,daily_agg_gross_GWh,lower_95_prediction_emission_factor_ton_mwh,upper_95_prediction_emission_factor_ton_mwh,emission_factor_ton_mwh_knn_q05,emission_factor_ton_mwh_knn_q25,emission_factor_ton_mwh_knn_q75,emission_factor_ton_mwh_knn_q95,emission_factor_ton_mwh_knn_mean
North Eastern,THER (GT),TRIPURA,2018-19,AGARTALA GT,0,"['AGARTALA GT', 'Agartala power plant']",23.832754,91.288045,operating,2015,,natural gas,Combined cycle,GAS,,135,135,626.24,182.40,0.00,0.00,9202.99,0.00,0.00,347191.86,0.00,0.00,347191.86,0.55,3.74,0.0,650.58,0.44,0.78,0.33,0.40,0.53,0.82,0.49
North Eastern,THER (GT),TRIPURA,2019-20,AGARTALA GT,0,"['AGARTALA GT', 'Agartala power plant']",23.832754,91.288045,operating,2015,,natural gas,Combined cycle,GAS,,135,135,779.19,228.36,0.00,0.00,9210.91,0.00,0.00,435038.70,0.00,0.00,435038.70,0.56,3.44,0.0,812.89,0.44,0.75,0.34,0.40,0.53,0.65,0.48
North Eastern,THER (GT),TRIPURA,2020-21,AGARTALA GT,0,"['AGARTALA GT', 'Agartala power plant']",23.832754,91.288045,operating,2015,,natural gas,Combined cycle,GAS,,135,135,846.22,250.71,0.00,0.00,9208.68,0.00,0.00,477513.56,0.00,0.00,477513.56,0.56,3.84,0.0,908.94,0.44,0.72,0.32,0.40,0.54,0.89,0.50
North Eastern,THER (GT),TRIPURA,2021-22,AGARTALA GT,0,"['AGARTALA GT', 'Agartala power plant']",23.832754,91.288045,operating,2015,,natural gas,Combined cycle,GAS,,135,135,891.21,259.72,0.00,0.00,9208.93,0.00,0.00,494684.65,0.00,0.00,494684.65,0.56,3.54,0.0,923.71,0.43,0.72,0.34,0.40,0.52,0.63,0.47
North Eastern,THER (GT),TRIPURA,2022-23,AGARTALA GT,0,"['AGARTALA GT', 'Agartala power plant']",23.832754,91.288045,operating,2015,,natural gas,Combined cycle,GAS,,135,135,816.00,246.00,0.00,0.00,9213.00,1500.45,842.88,468754.38,0.00,0.00,468754.38,0.57,3.55,0.0,845.17,0.44,0.73,0.20,0.39,0.56,0.74,0.48
North Eastern,THER (GT),TRIPURA,2023-24,AGARTALA GT,0,"['AGARTALA GT', 'Agartala power plant']",23.832754,91.288045,operating,2015,,natural gas,Combined cycle,GAS,,135,135,616.49,186.14,0.00,0.00,7924.40,502.35,306.70,354570.70,0.00,,354570.70,0.58,3.52,0.0,641.45,0.43,0.76,0.31,0.41,0.57,0.71,0.49
North Eastern,THER (GT),TRIPURA,2024-25,AGARTALA GT,0,"['AGARTALA GT', 'Agartala power plant']",23.832754,91.288045,operating,2015,,natural gas,Combined cycle,GAS,,135,135,,240.44,0.00,0.00,7952.72,479.97,310.96,155220.20,0.00,,316834.59,0.55,3.38,1.0,543.08,0.43,0.77,0.30,0.41,0.57,0.74,0.49
North Eastern,THER (GT),TRIPURA,2025-26,AGARTALA GT,0,"['AGARTALA GT', 'Agartala power plant']",23.832754,91.288045,operating,2015,,natural gas,Combined cycle,GAS,,135,135,,229.36,0.00,0.00,8125.96,552.17,316.98,170525.07,0.00,,199760.00,0.73,3.76,1.0,278.91,0.43,0.81,0.30,0.41,0.56,0.69,0.48
Western,THERMAL,CHHATISGARH,2018-19,AKALTARA TPS,0,"['AKALTARA TPS', 'AKALTARA TPP', 'KSK Mahanadi Power Project']",21.967853,82.422811,operating,,,,,COAL,OIL,1800,1800,7279.00,4750.53,262.88,3996.00,3698.00,3698.00,10100.00,7010523.56,11542.01,0.16,7022065.58,0.96,7.53,0.0,8998.82,0.90,1.07,0.89,0.94,1.01,1.07,0.98
Western,THERMAL,CHHATISGARH,2019-20,AKALTARA TPS,0,"['AKALTARA TPS', 'AKALTARA TPP', 'KSK Mahanadi Power Project']",21.967853,82.422811,operating,,,,,COAL,OIL,1800,1800,9549.11,6272.49,238.93,4354.80,3773.00,3773.00,10100.00,9298696.30,12578.37,0.14,9311274.67,0.98,7.20,0.0,15321.33,0.90,1.06,0.87,0.93,1.00,1.10,0.97
Western,THERMAL,CHHATISGARH,2020-21,AKALTARA TPS,0,"['AKALTARA TPS', 'AKALTARA TPP', 'KSK Mahanadi Power Project']",21.967853,82.422811,operating,,,,,COAL,OIL,1800,1800,9716.15,6695.93,0.00,2532.92,3689.78,0.00,10100.00,9371787.11,7316.07,0.08,9379103.18,0.97,7.25,0.0,10520.02,0.91,1.04,0.86,0.91,1.01,1.11,0.97
Western,THERMAL,CHHATISGARH,2021-22,AKALTARA TPS,0,"['AKALTARA TPS', 'AKALTARA TPP', 'KSK Mahanadi Power Project']",21.967853,82.422811,operating,,,,,COAL,OIL,1800,1800,8334.89,5848.69,0.00,2185.49,3701.31,0.00,10000.00,8211540.58,6250.05,0.08,8217790.64,0.99,7.41,0.0,9081.24,0.91,1.04,0.86,0.91,1.01,1.12,0.97
Western,THERMAL,CHHATISGARH,2022-23,AKALTARA TPS,0,"['AKALTARA TPS', 'AKALTARA TPP /NARIYARA TPP', 'KSK Mahanadi Power Project']",21.967853,82.422811,operating,,,,,COAL,OIL,1800,1800,9736.00,6824.00,0.00,1647.00,3704.00,4102.87,11000.00,9587832.00,5181.00,0.05,9593013.00,0.99,8.42,0.0,10758.39,0.98,0.99,0.86,0.92,1.00,1.09,0.96
