name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
Adasa Coal Mine,mining,Subbituminous,21.347003,78.953545,Operating,1.85,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Adasa_Coal_Mine
Adriyala Coal Mine,mining,Subbituminous,18.6648,79.579,Operating,2.5,The Singareni Collieries Co Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Adriyala_coal_mine
AKK Coal Mine,mining,Subbituminous,23.7905,85.9198,Operating,7.0,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/AKK_coal_mine
Amadand Coal Mine,mining,Subbituminous,23.157942,82.061533,Operating,4.0,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Amadand_coal_mine
Amaglmated Block IV-Kooridih-Govindpur Coal Mine,mining,Bituminous,23.800453,86.276944,Operating,1.2,Bharat Coking Coal Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Amaglmated_Block_IV-Kooridih-Govindpur_Coal_Mine
Amalgamated Amlo Dhori Open Cast Mine,mining,Subbituminous,23.76663448,85.98552098,Operating,3.0,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Amlo_Dhori_Coal_Mine
Amalgamated Inder Kamptee Coal Mine,mining,Subbituminous,21.241388,79.229444,Operating,3.56,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Amalgamated_Inder-Kamptee_Coal_Mine
Amalgamated Joyrampur Colliery,mining,Bituminous,23.71029839,86.4356662869932,Operating,3.25,Bharat Coking Coal Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Amalgamated_Joyrampur_Colliery
Amalgamated Keshalpur-West Mudidih (AKWMC) Coal Mine,mining,Bituminous,23.8078,86.3221,Operating,7.15,Bharat Coking Coal Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Cluster_No._5_(BCCL)
Amalgamated LSMK UG & OC Mine,mining,Subbituminous,23.772821,86.7319645,Operating,2.3,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Amalgamated_LSMK_UG_%26_OC_Mine
Amalgamated Yekona I and II Coal Mines,mining,Lignite,20.228333,78.9166666,Operating,3.3,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Amalgamated_Yekona_Mine
Amelia Coal Mine,mining,Subbituminous,24.072448,82.414011,Operating,4.0,THDC India Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Amelia_coal_mine
Amelia North Coal Mine,mining,Subbituminous,24.1346,82.4264,Operating,3.92,Jaiprakash Power Ventures Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Amelia_(North)_coal_mine
Amera Coal Mine,mining,Subbituminous,23.065899,83.049535,Operating,1.0,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Amera_OC_coal_mine
Amlai Coal Mine,mining,Subbituminous,23.167675,81.59593,Operating,1.2,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Amlai_coal_mine
Amlohri Coal Mine,mining,Subbituminous,24.134,82.593,Operating,16.18,Northern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Amlohri_coal_mine
Amrapali Coal Mine,mining,Lignite,23.889479,85.00171,Operating,24.19,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Magadh_Amrapali_coal_mines
Amritnaga Coal Mine,mining,Subbituminous,23.650069,87.071513,Operating,0.6,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Amritnaga_Coal_Mine
Ananta Coal Mine,mining,Lignite,20.943609,85.163715,Operating,7.9,Mahanadi Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Ananta_coal_mine
