facility_id,name,mineral_type,category,latitude,longitude,state,district,lease_area_ha,owner,ownership_type,mining_method,mineral_class,source,location_precision
62APR15017,KANDALI VERMICULITE (3237 ha),Vermiculite,mining,14.15259402243105,79.75890437446189,ANDHRA PRADESH,SPSR Nellore,3.237,B.KOTESWARA RAO,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR04020,Velpula,Limestone,mining,14.359884128555752,78.24092844422825,ANDHRA PRADESH,YSR KADAPA,7.45,VELPULA KRISHNAVENI,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR11084,PALKUR (SY.NO.8),Limestone,mining,15.42109140713697,78.26457995911096,ANDHRA PRADESH,Kurnool,1.902,DAKSHINA MURTHY NOOKALA,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR02039,NAGARUR  MINE,Limestone,mining,15.011203252067407,77.82945903947578,ANDHRA PRADESH,Anantapur,5.332,MALAPATI RAM MOHAN REDDY,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR04024,Giddangivaripalli,Limestone,mining,14.312584348494049,78.3618017241165,ANDHRA PRADESH,YSR KADAPA,3.934,M.BHASKAR REDDY,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR07024,SRI VENKATESWARA MINES & MINERALS,Limestone,mining,16.507315173960265,79.87244008743235,ANDHRA PRADESH,Guntur,20.234,SRI VENKATESWARA MINES & MINERALS IND.,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30APR04009,THUMMALUR,Iron Ore,mining,14.444179763188627,78.58468451883014,ANDHRA PRADESH,YSR KADAPA,148.74,PACIFIC MINING PRODUCTS PVT.LIMITED REP BY SUDHESH K.JAIN; TRANSFERRED FROM S.V.SIVA REDDY,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR11110,GADIGIREVULA(2834 HA),Limestone,mining,15.59878060019695,78.41917046723675,ANDHRA PRADESH,Kurnool,2.834,M. MAHESH KHANNA,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR11097,"MALKAPURAM(SYNO.82/1,82/8,83/1&2)",Limestone,mining,15.343344527337468,77.99565608955834,ANDHRA PRADESH,Kurnool,4.514,D.LEELAVATHI,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
62APR15013,Sri Rama Maruthi Vermiculite Mine,Vermiculite,mining,14.099497600621897,79.78682825059174,ANDHRA PRADESH,SPSR Nellore,10.87,M/s SRI RAMA MARUTHI VERMICULITE MINE (MURUGA),Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
19APR11031,MALKAPURAM (738/2B & 739/2),Limestone,mining,15.352985113200114,77.92087157809138,ANDHRA PRADESH,Kurnool,1.381,INDLA CHANDRA SHEKHAR,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38Apr11105,BEECHUPALLI LIMESTONE&DOLOMITE(SYNO.572/Q2),Limestone,mining,15.336757384958242,77.8754237781432,ANDHRA PRADESH,Kurnool,2.024,"BEECHUPALLI MINERALS AND CHEMICALS, MG PARTNER:MANNE PEDDANAGI REDDY",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
62APR15019,RAMACHANDRA VERMICULITE MINE,Vermiculite,mining,14.097241226100003,79.78692241792156,ANDHRA PRADESH,SPSR Nellore,5.152,THE PREMIER MICA COMPANY,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR11145,KOMAROLU (21/P),Limestone,mining,15.561063651991564,78.14987899072236,ANDHRA PRADESH,Kurnool,4.961,"SIMRAN MINERALS  Mg.P, M.D.KALEEM",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
22APR15030,THEEPANUR,Vermiculite,mining,14.091908085391594,79.84028891593896,ANDHRA PRADESH,SPSR Nellore,16.123,CERAMIC RAW MATERIAL & SERVICE CENTRE,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38Apr11107,AMAN MINERALS,Limestone,mining,15.320810119009494,77.8569224672617,ANDHRA PRADESH,Kurnool,2.802,AMANULLAH KHAN,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38APR04001,COROMANDAL,Limestone,mining,14.657722663236006,78.47592321894099,ANDHRA PRADESH,YSR KADAPA,602.137,THE INDIA CEMENTS LIMITED,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
