name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
AMNS Ghoraburhani-Sagasahi Mine,mining,iron_ore,21.948564,85.286626,operating,7160,ArcelorMittal Nippon Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/AMNS_Ghoraburhani-Sagasahi_Mine
AMNS Thakurani Mine,mining,iron_ore,22.111475,85.432979,operating,7990,ArcelorMittal Nippon Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/AMNS_Thakurani_Mine
Anand Mining Ghugharikala Mine,mining,iron_ore,23.377701,80.177424,operating,178,Anand Mining Corporation [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Anand_Mining_Ghugharikala_Mine
Anand Mining Pratappur Mine,mining,iron_ore,23.392031,80.195154,operating,600,Anand Mining Corporation [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Anand_Mining_Pratappur_Mine
Anindita Steel Parambaljori Mine,mining,iron_ore,22.176992,85.456895,operating,130,Anindita Steel Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Anindita_Steel_Parambaljori_Mine
Arihant Minerals Aminagad Mine,mining,iron_ore,16.162097,74.703659,operating,30,Arihant Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Arihant_Minerals_Aminagad_Mine
Auro Minerals RKDR Mine,mining,iron_ore,15.216027,76.431666,operating,84,Minera Steel & Power Private Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Auro_Minerals_RKDR_Mine
B Sanjeev Reddy Seetharamapuram Mine,mining,iron_ore,15.012917,79.116783,operating,30,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/B_Sanjeev_Reddy_Seetharamapuram_Mine
B.L Rani Samyuktha Doddabyaladakere Mine,mining,iron_ore,13.679838,76.516304,operating,142,Smt B.L Rani Samyuktha [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/B.L_Rani_Samyuktha_Doddabyaladakere_Mine
Balaji Jaisingpur Mine,mining,iron_ore,15.193778,76.464612,operating,80,Balaji Mines & Minerals Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Balaji_Jaisingpur_Mine
BC Dagara Sulaipat Mine,mining,iron_ore,22.142979,86.220817,operating,600,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/BC_Dagara_Sulaipat_Mine
Benita Industries Chabali Mine,mining,iron_ore,14.483575,78.590186,operating,1500,Benita Industries [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Benita_Industries_Chabali_Mine
BKG Haddinapade Mine,mining,iron_ore,15.026553,76.547947,operating,1710,BKG Mining Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/BKG_Haddinapade_Mine
BV Joshi Ganigattu Mine,mining,iron_ore,15.560844,78.029812,operating,60,BV Joshi Mines & Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/BV_Joshi_Ganigattu_Mine
Capital Minerals Ghadigram Mine,mining,iron_ore,23.484859,80.121934,operating,10,Capital Minerals and Mines [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/Capital_Minerals_Ghadigram_Mine
Chowgule Karadikolla Mine,mining,iron_ore,15.158579,76.510773,operating,380,Chowgule & Co Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Chowgule_Karadikolla_Mine
CMDC Aridongri Mine,mining,iron_ore,20.397681,81.067107,operating,500,Chhattisgarh Mineral Development Corporation Limited  [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/CMDC_Aridongri_Mine
Cosme Costa Gaval Sonshi Mine,mining,iron_ore,15.525589,74.048085,operating,1600,Cosme Costa & Sons [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Cosme_Costa_Gaval_Sonshi_Mine
Cuplegaichem Guer Donger Mine,mining,iron_ore,15.638604,73.892029,operating,200,Chowgule & Co Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Cuplegaichem_Guer_Donger_Mine
D Venkata Subbamma Hanuman Mine,mining,iron_ore,15.373824,77.963696,operating,71,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/D_Venkata_Subbamma_Hanuman_Mine
Dalapahar Appahattu Mine,mining,iron_ore,21.974199,85.421092,operating,310,Dalpahar Iron & Manganese Mines [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Dalapahar_Appahattu_Mine
DB Kere Hosadurga Mine,mining,iron_ore,13.693105,76.514719,operating,150,SJMP Holdings LLP [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/DB_Kere_Hosadurga_Mine
DB Siljora-Kalimati Mine,mining,iron_ore,21.885452,85.376302,operating,136,Debabrata Behera [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/DB_Siljora-Kalimati_Mine
DC Dagara Ghusuria Mine,mining,iron_ore,21.772136,86.765598,operating,62,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/DC_Dagara_Ghusuria_Mine
Deccan Minerals Sateli Mine,mining,iron_ore,15.763864,73.766158,operating,unknown,Deccan Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/Deccan_Minerals_Sateli_Mine
Deepak Singh Papra Kala Mine,mining,iron_ore,27.751512,75.709789,operating,130,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/Deepak_Singh_Papra_Kala_Mine
Dhigvijay Minerals Gutupalli Mine,mining,iron_ore,15.440541,78.065379,operating,116,Dhigvijay Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Dhigvijay_Minerals_Gutupalli_Mine
Doddanavar Bros Aihole Mine,mining,iron_ore,16.067089,75.908783,operating,600,Doddanavar Brothers [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Doddanavar_Bros_Aihole_Mine
DR Patnaik Murgabeda Mine,mining,iron_ore,22.108109,85.467786,operating,2000,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/DR_Patnaik_Murgabeda_Mine
DRG Preetampuri Mine,mining,iron_ore,27.584184,75.747543,operating,90,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/DRG_Preetampuri_Mine
ESL Nadidih (Bico) Mine,mining,iron_ore,21.969084,85.262653,operating,9000,ESL Steel Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/ESL_Nadidih_(Bico)_Mine
ESL Nadidih Mine,mining,iron_ore,21.965057,85.255248,operating,6000,ESL Steel Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/ESL_Nadidih_Mine
EV Ranga Reddy Pagadapalli Mine,mining,iron_ore,14.450451,78.605802,operating,274,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/EV_Ranga_Reddy_Pagadapalli_Mine
Geetarani Mohanty Raikela Mine,mining,iron_ore,21.876836,85.182035,operating,5000,Geetarani Mohanty [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Geetarani_Mohanty_Raikela_Mine
GGB Jambunatha Mine,mining,iron_ore,15.223883,76.434836,operating,160,Gogga Gurusanthiah & Bros [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/GGB_Jambunatha_Mine
Ghanashyam Misra Gorumahisani Mine,mining,iron_ore,22.312576,86.276566,operating,750,Ghanashyam Misra & Sons Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Ghanashyam_Misra_Gorumahisani_Mine
GMIS Badampahar Mine,mining,iron_ore,22.068628,86.122735,operating,1137,GM Iron & Steel Co Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/GMIS_Badampahar_Mine
Godbaim OU Cutiem Curpem Mine,mining,iron_ore,15.136774,74.175528,operating,45,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Godbaim_OU_Cutiem_Curpem_Mine
Gogte Minerals Redi Mine,mining,iron_ore,15.740309,73.677879,operating,368,Gogte Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Gogte_Minerals_Redi_Mine
GPIL Boria Tibbu Mine,mining,iron_ore,20.461058,80.928432,operating,705,Godawari Power & Ispat Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/GPIL_Boria_Tibbu_Mine
GPIL Kachche Aridongri Mine,mining,iron_ore,20.408833,81.063648,operating,2350,Godawari Power & Ispat Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/GPIL_Kachche_Aridongri_Mine
Grewal Minerals Raikela Mine,mining,iron_ore,21.881297,85.1865,operating,502,Grewal Minerals & Metals LLP [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Grewal_Minerals_Raikela_Mine
Grewal Minerals Sanindpur Mine,mining,iron_ore,21.920014,85.312759,operating,1140,Grewal Minerals & Metals LLP [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Grewal_Minerals_Sanindpur_Mine
GSPL Dindadahalli Mine,mining,iron_ore,14.199626,76.229679,operating,21,Goa Sponge & Power Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/GSPL_Dindadahalli_Mine
Gutupalli Mining Company Gutupalli Mine,mining,iron_ore,15.441722,78.033291,operating,13.5,Gutupalli Mining Company [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Gutupalli_Mining_Company_Gutupalli_Mine
