name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
Action Ispat and Power Jharsuguda steel plant,iron_steel,iron_steel,21.839759,83.982227,operating,375,Action Ispat and Power Pvt Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Action_Ispat_and_Power_Jharsuguda_steel_plant
Adhunik Metaliks Kuanrmunda steel plant,iron_steel,iron_steel,22.308371,84.763584,operating,500,Adhunik Metaliks Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Adhunik_Metaliks_Kuanrmunda_steel_plant
ArcelorMittal Nippon Steel Hazira plant,iron_steel,iron_steel,21.112377,72.647304,operating,9600,ArcelorMittal Nippon Steel India Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/ArcelorMittal_Nippon_Steel_Hazira_plant
Arjas Steel Tadipatri plant,iron_steel,iron_steel,14.873471,78.048425,operating,1005,Arjas Steel Pvt Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Arjas_Steel_Tadipatri_plant
Atibir Industries Bhorandiha steel plant,iron_steel,iron_steel,24.145239,86.334999,operating,,Atibir Industries Co Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Atibir_Industries_Bhorandiha_steel_plant
BMM Ispat Danapur steel plant,iron_steel,iron_steel,15.16972,76.37971,operating,2208,BMM Ispat Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/BMM_Ispat_Danapur_steel_plant
Captain Steel Debipur steel plant,iron_steel,iron_steel,23.782149607591688,86.83591234561024,operating,208,Captain Steel India Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Captain_Steel_Debipur_steel_plant
Crest Steel and Power Mangatta steel plant,iron_steel,iron_steel,21.190313,81.19922,operating,96,Crest Steel and Power Pvt Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Crest_Steel_and_Power_Mangatta_steel_plant
Electrosteel Bokaro steel plant,iron_steel,iron_steel,23.632907,86.293671,operating,1500,ESL Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Electrosteel_Bokaro_steel_plant
Electrosteel Castings Srikalahasthi steel plant,iron_steel,iron_steel,13.717188,79.630588,operating,>0,Electrosteel Castings Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Electrosteel_Castings_Srikalahasthi_steel_plant
Evonith Metallics Wardha steel plant,iron_steel,iron_steel,20.704605,78.620293,operating,,Evonith Metallics Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Evonith_Metallics_Wardha_steel_plant
Evonith Value Steel Wardha steel plant,iron_steel,iron_steel,20.696412,78.638548,operating,1080,Evonith Metallics Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Evonith_Value_Steel_Wardha_steel_plant
Gallantt Ispat Gorakhpur steel plant,iron_steel,iron_steel,26.757009,83.199086,operating,528,Gallantt Ispat Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Gallantt_Ispat_Gorakhpur_steel_plant
Godawari Power and Ispat Siltara steel plant,iron_steel,iron_steel,21.376214,81.681888,operating,659,Godawari Power and Ispat Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Godawari_Power_and_Ispat_Siltara_steel_plant
Hospet Steels Hospet plant,iron_steel,iron_steel,15.339055,76.251696,operating,650,Hospet Steels Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Hospet_Steels_Hospet_plant
Jai Balaji Durgapur Unit IV steel plant,iron_steel,iron_steel,23.483075,87.352189,operating,295,Jai Balaji Industries Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Jai_Balaji_Durgapur_Unit_IV_steel_plant
Jai Balaji Jyoti Steels Sundargarh plant,iron_steel,iron_steel,22.085338,84.86184,operating,92,Jai Balaji Jyoti Steels Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Jai_Balaji_Jyoti_Steels_Sundargarh_plant
Jai Balaji Rajbandh Unit III steel plant,iron_steel,iron_steel,23.487439,87.369494,operating,,Jai Balaji Industries Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Jai_Balaji_Rajbandh_Unit_III_steel_plant
