refinery_id,company,refinery_name,state,capacity_000_mt,osm_id,osm_type,osm_name,osm_operator,latitude,longitude,source_ppac,source_osm,osm_status,verified,previous_latitude,previous_longitude,coordinate_change_status,coordinate_verification_status,coordinate_verification_note,geometry_type,polygon_status,polygon_source,polygon_wkt,geometry_wkt,polygon_download_url
1,INDIAN OIL CORPORATION LIMITED,"IOC, Digboi",ASSAM,650,way/222011234,way,Digboi Refinery,,27.3901211,95.6193511,True,True,MATCHED,True,27.38977755,95.61899743936036,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(95.6193511 27.3901211),https://api.openstreetmap.org/api/0.6/way/222011234/full
2,INDIAN OIL CORPORATION LIMITED,"IOC, Guwahati",ASSAM,1200,way/122009489,way,Guwahati Refinery,,26.1849678,91.8092826,True,True,MATCHED,True,26.1849846,91.80968631186212,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(91.8092826 26.1849678),https://api.openstreetmap.org/api/0.6/way/122009489/full
3,INDIAN OIL CORPORATION LIMITED,"IOC, Koyali",GUJARAT,13700,way/29107962,way,Gujarat Refinery,,22.3793084,73.118723,True,True,MATCHED,True,22.37878555,73.11679485903709,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(73.118723 22.3793084),https://api.openstreetmap.org/api/0.6/way/29107962/full
4,INDIAN OIL CORPORATION LIMITED,"IOC, Barauni",BIHAR,6000,way/66665052,way,Barauni Oil Refinery,,25.4313603,86.0601055,True,True,MATCHED,True,25.4313037,86.05998971412977,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(86.0601055 25.4313603),https://api.openstreetmap.org/api/0.6/way/66665052/full
5,INDIAN OIL CORPORATION LIMITED,"IOC, Haldia",WEST BENGAL,8000,way/335591575,way,Indian Oil Corporation Ltd IOCL Refinery,,22.0428572,88.1050039,True,True,MATCHED,True,,,FILLED,VERIFIED_OSM_MATCH,OSM way 335591575 matched to IOCL Haldia refinery; MoEFCC clearance independently gives the Haldia refinery site bounding coordinates.,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(88.1050039 22.0428572),https://api.openstreetmap.org/api/0.6/way/335591575/full
6,INDIAN OIL CORPORATION LIMITED,"IOC, Mathura",UTTAR PRADESH,8000,way/546118631,way,Mathura Refinery,,27.3811057,77.6861823,True,True,MATCHED,True,27.379719,77.68465224553967,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(77.6861823 27.3811057),https://api.openstreetmap.org/api/0.6/way/546118631/full
7,INDIAN OIL CORPORATION LIMITED,"IOC, Panipat",HARYANA,15000,way/259618943,way,Panipat Refinery,,29.4524818,76.8688877,True,True,MATCHED,True,29.4525275,76.8635701900279,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(76.8688877 29.4524818),https://api.openstreetmap.org/api/0.6/way/259618943/full
8,INDIAN OIL CORPORATION LIMITED,"IOC, Bongaigaon",ASSAM,2700,way/97895213,way,Bongaigaon Refinery,,26.5194649,90.5314355,True,True,MATCHED,True,26.518718,90.5331630235168,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(90.5314355 26.5194649),https://api.openstreetmap.org/api/0.6/way/97895213/full
9,INDIAN OIL CORPORATION LIMITED,"IOC, Paradip",ODISHA,15000,way/476615816,way,IOCL Oil Refinery / Petrochemical Plant,,20.2615124,86.6047767,True,True,MATCHED,True,,,FILLED,VERIFIED_OSM_MATCH,OSM way 476615816 is explicitly mapped as IOCL Oil Refinery / Petrochemical Plant at Paradip; use as the refinery site coordinate.,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(86.6047767 20.2615124),https://api.openstreetmap.org/api/0.6/way/476615816/full
10,HINDUSTAN PETROLEUM CORPORATION LIMITED,"HPC, Mumbai",MAHARASHTRA,9500,way/430012320,way,Mumbai Refinery,HPCL,19.0126505,72.9035246,True,True,MATCHED,True,19.01271095,72.90308273487678,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(72.9035246 19.0126505),https://api.openstreetmap.org/api/0.6/way/430012320/full
