petrochemical_id,site_id,company,site_name,state,district,facility_category,facility_categories,latitude,longitude,coordinate_source,coordinate_confidence,coordinate_status,coordinate_method,osm_id,osm_type,osm_name,polygon_status,polygon_source,polygon_source_url,source_primary,source_primary_url,source_secondary,source_secondary_url,operational_status,site_scope,verification_status,qc_status,qc_reason,notes
1,1,RELIANCE INDUSTRIES LTD. (RIL),RIL Hazira,Gujarat,Surat,SYNTHETIC_FIBRES_YARN,AROMATICS; FIBRE_INTERMEDIATES; OLEFINS; POLYMERS; SYNTHETIC_FIBRES_YARN; SYNTHETIC_RUBBER,21.169938,72.673938,Global Energy Monitor / RIL manufacturing location,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,,,,OSM_WAY_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,Reliance Industries manufacturing locations,https://www.ril.com/about/manufacturing-locations,ACTIVE,CORE_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
2,2,RELIANCE INDUSTRIES LTD. (RIL),RIL Patalganga,Maharashtra,Raigad,SYNTHETIC_FIBRES_YARN,AROMATICS; FIBRE_INTERMEDIATES; SYNTHETIC_FIBRES_YARN; SYNTHETIC_RUBBER,18.88317,73.18162,Government environmental-clearance site location,MEDIUM,VERIFIED_SITE_LOCATION,SITE_BOUNDARY_CENTROID,,,,GOVERNMENT_BLOCK_REFERENCE,MoEFCC environmental-clearance project boundary,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,MoEFCC environmental-clearance record for RIL Patalganga,https://environmentclearance.nic.in/auth/FORM_A_PDF.aspx?cat_id=IA%2FMH%2FIND2%2F27434%2F2015&pid=New,ACTIVE,CORE_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,READY_FOR_OSM,PHYSICAL_SITE_IDENTIFIED,
3,3,GAIL (INDIA) LIMITED.,GAIL Pata Petrochemical Complex,Uttar Pradesh,Auraiya,POLYMERS,POLYMERS,26.647096,79.487234,Global Energy Monitor / official EC-linked source,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,,,,OSM_WAY_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,MoEFCC environmental-clearance record / GAIL Pata,https://environmentclearance.nic.in/auth/ECGeneral_Report.aspx?pid=25261,ACTIVE,CORE_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
4,4,HALDIA PETROCHEMICALS LTD,Haldia Petrochemical Complex,West Bengal,Purba Medinipur,POLYMERS,AROMATICS; OLEFINS; OTHER_PETRO_BASED; POLYMERS,22.06709,88.11321,OpenStreetMap / project source,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,335706015,way,,OSM_WAY_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,MoEFCC EIA / Haldia Petrochemical Complex,https://environmentclearance.nic.in/writereaddata/Online/TOR/27_May_2016_164916943Y13E5D85PFRHPL.pdf,ACTIVE,CORE_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
5,5,HPCL-Mittal Energy Ltd,HMEL Bathinda Petrochemical Site,Punjab,Bathinda,POLYMERS,OLEFINS; POLYMERS,29.928273,74.948007,Global Energy Monitor / HMEL,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,,,,SITE_AREA_REFERENCE,HMEL / OSM enrichment,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,HMEL integrated refinery-petrochemical complex,https://www.hmel.in/about-us/,ACTIVE,INTEGRATED_REFINERY_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
6,6,INDIAN OIL CORPORATION LTD.,IOCL Panipat Petrochemical / Naphtha Cracker,Haryana,Panipat,POLYMERS,AROMATICS; FIBRE_INTERMEDIATES; OLEFINS; OTHER_PETRO_BASED; POLYMERS,29.45577,76.85973,OpenStreetMap / IndianOil,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,926407390,way,,OSM_WAY_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,IndianOil Panipat Refinery & Petrochemical Complex,https://iocl.com/pages/panipat-refinery,ACTIVE,INTEGRATED_REFINERY_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
7,7,MANGALORE REFINERY AND PETROCHEMICALS LTD,MRPL Mangalore Petrochemical Site,Karnataka,Dakshina Kannada,POLYMERS,AROMATICS; OLEFINS; POLYMERS,12.98581,74.84424,OpenStreetMap / MRPL,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,62004860,way,,OSM_WAY_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,MRPL official site / annual reporting,https://mrpl.co.in/,ACTIVE,INTEGRATED_REFINERY_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
8,8,RELIANCE INDUSTRIES LTD. (RIL),RIL Jamnagar,Gujarat,Jamnagar,POLYMERS,AROMATICS; OLEFINS; POLYMERS,22.334148,69.84961,Global Energy Monitor / RIL,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,,,,OSM_WAY_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,Reliance Industries manufacturing locations,https://www.ril.com/about/manufacturing-locations,ACTIVE,INTEGRATED_REFINERY_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
9,9,RELIANCE INDUSTRIES LTD. (RIL),RIL Dahej,Gujarat,Bharuch,POLYMERS,FIBRE_INTERMEDIATES; OLEFINS; POLYMERS; SYNTHETIC_RUBBER,21.692313,72.573313,Global Energy Monitor / RIL,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,,,,OSM_WAY_OR_SITE_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,Reliance Industries manufacturing locations,https://www.ril.com/about/manufacturing-locations,ACTIVE,CORE_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
10,10,RELIANCE INDUSTRIES LTD. (RIL),RIL Nagothane,Maharashtra,Raigad,POLYMERS,FIBRE_INTERMEDIATES; OLEFINS; POLYMERS; SYNTHETIC_RUBBER,18.55836,73.1125,OpenStreetMap / Global Energy Monitor,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,658563501,way,,OSM_WAY_OR_SITE_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,Reliance Industries manufacturing locations / Global Energy Monitor,https://www.ril.com/about/manufacturing-locations,ACTIVE,CORE_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
11,11,"ONGC Petro Additions Limited,",OPaL Dahej Petrochemical Complex,Gujarat,Bharuch,POLYMERS,AROMATICS; OLEFINS; POLYMERS,21.674364,72.543692,Global Energy Monitor / OPaL,HIGH,VERIFIED_SOURCE_BACKED,FACILITY_POINT,,,,OSM_WAY_OR_SITE_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,OPaL corporate brochure,https://opalindia.in/PDF/OPaL_Corporate_Brochure.pdf,ACTIVE,CORE_PETROCHEMICAL_COMPLEX,SOURCE_BACKED,PASS,PHYSICAL_SITE_IDENTIFIED,
12,12,Indian Synthetic Rubber Limited,ISRL Panipat,Haryana,Panipat,SYNTHETIC_RUBBER,SYNTHETIC_RUBBER,29.730000,76.980000,Indian Synthetic Rubber Private Limited,HIGH,VERIFIED_COMPANY_COORDINATE,FACILITY_POINT,,,,REQUIRES_DEDICATED_POLYGON,OpenStreetMap / government GIS,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,ISRPL official plant address / Haryana pollution-control record,https://www.isrpl.co.in/Pdf/Tenders/2024-25/Solar%20Project/Section%20III%20-Scope%20of%20services.pdf,ACTIVE,PETROCHEMICAL_DERIVED_SYNTHETIC_RUBBER_SITE,SOURCE_BACKED,PASS,,"ISRPL's 2024-25 technical scope document gives 29.73 N, 76.98 E for the Panipat plant. Company contact page identifies the same plant opposite the Naphtha Cracker Polymer Terminal Gate, Panipat Refinery."
13,13,INDIAN OIL CORPORATION LTD.,IOCL Gujarat Refinery / Aromatics Site,Gujarat,Vadodara,SYNTHETIC_RUBBER,SYNTHETIC_RUBBER,22.379308,73.118723,OpenStreetMap / IndianOil Gujarat Refinery,HIGH,PARENT_COMPLEX_COORDINATE,PARENT_REFINERY_REFERENCE,way/29107962,way,Gujarat Refinery,OSM_WAY_REFERENCE,OpenStreetMap / Overpass,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,IndianOil Gujarat Refinery + OpenStreetMap,https://iocl.com/gujarat-refinery,ACTIVE,PETROCHEMICAL_ASSOCIATED_REFINERY_SITE,SOURCE_BACKED_PARENT_COMPLEX,REVIEW,Coordinate is the Gujarat Refinery complex reference; exact aromatics-unit footprint should be represented separately when polygon data are available.,"IndianOil confirms Gujarat Refinery is an integrated refinery-cum-petrochemical complex at Jawaharnagar near Vadodara. OSM refinery way 29107962 gives 22.3793084, 73.118723."
14,14,RELIANCE INDUSTRIES LTD. (RIL),RIL Kurkhumbh,Maharashtra,Pune,SYNTHETIC_RUBBER,SYNTHETIC_RUBBER,18.397533,74.520950,Kurkumbh/MIDC locality reference; historical RIL manufacturing division,LOW,APPROXIMATE_SITE_REFERENCE,LOCALITY_REFERENCE,,,,REQUIRES_DEDICATED_HISTORICAL_SITE_POLYGON,OpenStreetMap / historical site documentation,,"ChemIndia / Department of Chemicals & Petrochemicals, Government of India",https://chemindia.chemicals.gov.in/LandingPage/Home/ManufacturingUnits,RIL historical reports; Kurkumbh locality coordinate,https://www.ril.com/sites/default/files/2023-11/RIL_SR2007_08.pdf,HISTORICAL_REQUIRES_CURRENT_STATUS_CHECK,LEGACY_ASSOCIATED_PETROCHEMICAL_SITE,HISTORICAL_SITE_CONFIRMED_COORDINATE_APPROXIMATE,REVIEW,"RIL's historical Kurkumbh manufacturing division is confirmed, but a current authoritative facility-specific coordinate was not found. Coordinate represents Kurkumbh locality/MIDC area, not a verified RIL parcel centroid.",RIL's historical reports identify Kurkumbh as a manufacturing division and state that the division occupied 34 acres. RIL later shut the Kurkumbh MEG facility and converted/repurposed the site. Use this coordinate only as a review placeholder until an OSM polygon or official plot-level coordinate is obtained.
