id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr,source
SPB-1,Megnha Re-rolling and Steel Mills steel plant,23.585487,90.648875,EAF,,Chittagong,Bangladesh,Operating,2300000,0.00381,8763,0.00251,5773,0.00144,3312,0.00047,1081,
SPI-1,Orissa Metaliks Pvt Ltd,22.378355,87.281773,Integrated,,West Bengal,India,Operating,990000,0.00381,3771.9,0.00251,2484.9,0.00144,1425.6,0.00047,465.3,
SPI-2,Steel Authority of India Ltd,23.665198,86.917455,Integrated,,West Bengal,India,Operating,,0.00381,0,0.00251,0,0.00144,0,0.00047,0,
SPI-3,Tata Steel Ltd,22.385611,87.287179,Integrated,,West Bengal,India,Operating,,0.00381,0,0.00251,0,0.00144,0,0.00047,0,
SPI-4,Maithan Steel & Power Limited (Unit 2),23.776213,86.866906,,,West Bengal,India,Operating,413365,0.00381,1574.92065,0.00251,1037.54615,0.00144,595.2456,0.00047,194.28155,
SPI-5,Jindal Stainless Ltd,29.127253,75.773075,,,Haryana,India,Operating,,0.00381,0,0.00251,0,0.00144,0,0.00047,0,
SPI-6,KR Steel Union Ltd,22.976512,88.46118,,,West Bengal,India,Operating,,0.00381,0,0.00251,0,0.00144,0,0.00047,0,
SPI-7,Tata Steel BSL Ltd,28.648921,77.331907,,,Uttar Pradesh,India,Operating,,0.00381,0,0.00251,0,0.00144,0,0.00047,0,
SPI-8,Orissa Alloy Steel Kharagpur Plant,22.364258,87.309047,BOF,,,India,Operating,47000,0.00381,179.07,0.00251,117.97,0.00144,67.68,0.00047,22.09,
SPI-9,Usha Martin Ltd,31.583478,75.95079,,,Punjab,India,Operating,,0.00381,0,0.00251,0,0.00144,0,0.00047,0,
SPI-10,Rashmi Metaliks Kharagpur steel plant,22.36277883,87.29904,BOF,,,India,Operating,43000,0.00381,163.83,0.00251,107.93,0.00144,61.92,0.00047,20.21,
SPI-11,Jai Balaji Durgapur Unit IV steel plant,23.48384,87.359863,,,,India,Operating,25000,0.00381,95.25,0.00251,62.75,0.00144,36,0.00047,11.75,
